Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- MSBB run is 4-weekly from Oct to May (during beach season),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- MSBB run is 2-weekly from Jun to Sep (while beach is eroded),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Neighbourhood Loop (fortnightly) runs from Jun to Sep (while beach is eroded),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8159,728,512,669,308,9,217,543,182,88,47,623,67,291,454,107,0,710,38,188,403,0,0,144,173,57,34,0,706,288,25,0,288,261,0,,
"Wed, 11-Mar",Filament,Intervals,8.0,8.67,x,x,x,,,,x,,,,x,,,x,,,x,,,x,,,,,,,,x,,x,,x,x,,12,104
"Fri, 13-Mar",Il Lido,River Loop,12.5,12.49,x,x,x,x,,,x,,,,x,,,,,,,,,x,,,,,,,,x,,,,x,,,9,112
"Mon, 16-Mar",Drift,Intervals,10.0,10.00,,,x,x,,,,,,,,,x,x,,,x,,,x,,,,,,,,,,,,,,,6,60
"Wed, 18-Mar",Filament,Lakes Loop,12.5,12.35,x,x,x,,,,x,,,,x,x,,x,,,x,,,x,,,,,,,,x,,,,x,,1,12,148
"Fri, 20-Mar",MSBB,Soft Sand,7.0,7.04,x,x,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,5,35
"Mon, 23-Mar",Drift,Cruise,10.0,10.00,,,x,x,,,,,,,,,x,,,,x,,,x,,,,,,,,,,,,,,,5,50
"Wed, 25-Mar",Filament,Intervals,8.0,9.01,x,x,,,,x,x,x,x,,x,x,,,x,,x,,,,,,,,,,,x,,,,x,x,,13,117
"Fri, 27-Mar",Il Lido,Soft Sand,7.0,7.03,x,,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,4,28
"Mon, 30-Mar",Drift,Intervals,10.0,10.00,,,,x,,,,,,,,,x,x,,,x,,,,,,,,,,,,,,,,,,4,40
"Wed, 1-Apr",Filament,Social,8.0,8.01,x,x,x,x,,x,x,x,x,x,x,x,,x,,,x,,,,,,,,,,,x,,,,x,x,1,17,136
"Fri, 3-Apr",C-Breeze,Good Fri Pancake,13.0,12.93,x,,x,,,,x,,,,x,,x,x,,,x,,,,,,,,,,,x,x,,,x,,,10,129
"Mon, 6-Apr",Drift,Cruise,10.0,10.45,,,,x,,,,,,,x,,,,,,x,,,x,,,,,,,,x,,,,,,1,6,63
"Wed, 8-Apr",Filament,Intervals,8.0,8.89,x,x,x,,,x,x,x,x,,x,x,,x,,,x,,,x,,,,,,,,x,,,,x,x,,15,133
"Fri, 10-Apr",MSBB,River Loop,12.5,12.49,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,5,62
"Mon, 13-Apr",Drift,Intervals,10.0,10.48,x,,x,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,,,,5,52
"Wed, 15-Apr",Filament,Lakes Loop,12.5,12.33,x,x,x,,,x,x,x,,,x,x,,x,x,,,,,,,,,x,,,,x,,,,x,x,,14,173
"Fri, 17-Apr",Il Lido,Soft Sand,7.0,7.01,x,x,x,,,,x,,,,x,,,,,,,,,,,,,x,,,,x,,,,,,,7,49
"Mon, 20-Apr",Drift,Cruise,10.0,10.09,,,x,,,,,,,,,,x,x,,,x,,,,,,,x,,,,,x,,,,,,6,61
"Wed, 22-Apr",Filament,Intervals,8.0,8.64,x,x,x,,,x,,x,,,x,,,x,,,x,x,,x,,,,x,x,,,x,,,,x,x,,15,130
"Fri, 24-Apr",Il Lido,Soft Sand,7.0,4.00,x,x,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,5,20
"Sat, 25-Apr",Filament,Mara - Anzac Day,42.2,42.22,x,,x,,,,x,,,,x,,,,,,x,,,,,,,,,,,x,,,,,,,6,253
"Sat, 25-Apr",Filament,Half - Anzac Day,21.1,21.10,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21
"Mon, 27-Apr",Drift,Intervals,10.0,10.42,,,x,,,,x,,,,x,,x,x,,,x,,,,,,,,,,,x,x,,,,,,8,83
"Wed, 29-Apr",Filament,Social,8.0,7.99,x,x,x,x,,x,x,x,,,x,,,x,x,,x,,,x,,,,x,,,,x,x,,,x,x,,17,136
"Fri, 1-May",Il Lido,Soft Sand,7.0,7.02,x,x,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,5,35
"Mon, 4-May",Drift,Cruise,10.0,10.78,x,,,,,,,,,,,,x,x,,,x,,,,,,x,x,,,,,x,,,,,,7,75
"Wed, 6-May",Filament,Intervals,8.0,8.44,x,,,,,,x,,x,,,,,x,,,x,,,,,,x,x,,,,x,x,,,x,x,1,12,101
"Fri, 8-May",MSBB,River Loop,12.5,no run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 11-May",Drift,Intervals,10.0,10.42,x,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,1,4,42
"Wed, 13-May",Filament,Lakes Loop,12.5,12.33,x,,,x,,x,,,,,x,,,x,,,x,,,x,,,,,x,,,x,,,,,x,1,11,136
"Fri, 15-May",Il Lido,N/hood Loop,10.0,10.19,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,3,31
"Mon, 18-May",Drift,Cruise,10.0,10.42,x,,x,,,,,,,,,,x,x,,,x,,,,,,x,,,,,,,,,,x,,7,73
"Wed, 20-May",Filament,Intervals,8.0,8.20,x,,x,x,,x,,x,,,x,,,,,,x,,,,,,,x,,,,x,,,,,x,1,11,90
"Fri, 22-May",MSBB,River Loop,12.5,12.49,x,,,,,,,,,,x,,,,,,,,,x,,,,x,,,,x,,,,,,1,6,75
"Mon, 25-May",Drift,Intervals,10.0,9.77,x,,x,,,,,,,,,,x,,,,x,,,x,,,,,,,,,x,,,,,1,7,68
"Wed, 27-May",Filament,Social,8.0,7.81,x,,x,x,,x,,x,,,x,,,x,,,x,,,x,,,,x,,,,x,x,,,,x,,13,102
"Fri, 29-May",Il Lido,N/hood Loop,10.0,10.37,x,,x,,,,x,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,5,52
"Mon, 1-Jun",Drift,Cruise,10.0,10.68,,,x,,,,,,,,x,,x,,,,x,,,,,,,,,x,,x,,,,,,,6,64
"Wed, 3-Jun",Filament,Intervals,8.0,8.35,x,,x,x,,x,x,,,,x,,,,x,,x,,,x,,,,,,x,,x,x,,,,x,,13,109
"Fri, 5-Jun",MSBB,River Loop,12.5,12.47,x,,x,x,,,x,,,,x,,,,,,x,,,x,,,x,,,,,x,x,,,,,,10,125
"Mon, 8-Jun",Drift,Intervals,10.0,10.43,x,,x,,,,,,,,,,x,x,,,x,,,,,,x,,,,,,,,,,,1,7,73
"Wed, 10-Jun",Filament,Lakes Loop,12.5,13.00,x,x,x,x,,x,x,x,,,x,,,x,x,,,,,x,,,,,,,,x,x,,,,x,2,16,208
